CLIMATEZONE;Date;Yield
00002;1992-12-31;850
00002;1993-12-31;842
00002;1994-12-31;760
00002;1995-12-31;780
00002;1996-12-31;730
00002;1997-12-31;859
00002;1998-12-31;869
00002;1999-12-31;801
00002;2000-12-31;880
00002;2001-12-31;796
00002;2002-12-31;802
00002;2003-12-31;805
00002;2004-12-31;826
00004;1992-12-31;850
00004;1993-12-31;842
00004;1994-12-31;760
00004;1995-12-31;780
00004;1996-12-31;730
00004;1997-12-31;859
00004;1998-12-31;869
00004;1999-12-31;801
00004;2000-12-31;880
00004;2001-12-31;796
00004;2002-12-31;802
00004;2003-12-31;805
00004;2004-12-31;826
00006;1992-12-31;850
00006;1993-12-31;842
00006;1994-12-31;760
00006;1995-12-31;780
00006;1996-12-31;730
00006;1997-12-31;859
00006;1998-12-31;869
00006;1999-12-31;801
00006;2000-12-31;880
00006;2001-12-31;796
00006;2002-12-31;802
00006;2003-12-31;805
00006;2004-12-31;826
00000;1992-12-31;850
00000;1993-12-31;842
00000;1994-12-31;760
00000;1995-12-31;780
00000;1996-12-31;730
00000;1997-12-31;859
00000;1998-12-31;869
00000;1999-12-31;801
00000;2000-12-31;880
00000;2001-12-31;796
00000;2002-12-31;802
00000;2003-12-31;805
00000;2004-12-31;826
00007;1992-12-31;850
00007;1993-12-31;842
00007;1994-12-31;760
00007;1995-12-31;780
00007;1996-12-31;730
00007;1997-12-31;859
00007;1998-12-31;869
00007;1999-12-31;801
00007;2000-12-31;880
00007;2001-12-31;796
00007;2002-12-31;802
00007;2003-12-31;805
00007;2004-12-31;826
