ClimateZone;Year;ObservedYield
C02;1992;850
C02;1993;842
C02;1994;760
C02;1995;780
C02;1996;730
C02;1997;859
C02;1998;869
C02;1999;801
C02;2000;880
C02;2001;796
C02;2002;802
C02;2003;805
C02;2004;826
C04;1992;850
C04;1993;842
C04;1994;760
C04;1995;780
C04;1996;730
C04;1997;859
C04;1998;869
C04;1999;801
C04;2000;880
C04;2001;796
C04;2002;802
C04;2003;805
C04;2004;826
C06;1992;850
C06;1993;842
C06;1994;760
C06;1995;780
C06;1996;730
C06;1997;859
C06;1998;869
C06;1999;801
C06;2000;880
C06;2001;796
C06;2002;802
C06;2003;805
C06;2004;826
